Rat ID,Butyrate,Acetate,Propionate,Valerate,Isovalerate,Isobutyrate,Formate,Glucose,Glycerol,Threonine,Leucine,Methionine,Valine,Proline,Lactate,Glutamate,Ethanol,Tryptophan,Aspartate,Alanine,Phenylalanine,Isoleucine,Tyrosine,Glycine,Nicotinate,Uracil,Urocanate,Hypoxanthine,Choline,Methanol,Succinate,2-oxoglutarate,Fumarate,Pyruvate,Methylamine,Trimethylamine,Malonate,"1,3-dihydroxyacetone"
C1,0.9441,9.0399,2.0856,0.3554,0.0998,0.0471,0.0255,0.4801,6.6837,0.1873,0.5852,0.1844,0.4098,0.3671,0.2297,0.6895,7.7256,,0.199,0.4334,0.2637,0.2901,0.2026,0.1044,0.0213,0.1658,0.0164,0.0152,0.0225,0.0392,0.0946,0.0303,0.0123,0.0226,0.0219,0.0054,0.0307,0.0049
C2,0.9605,8.8941,2.2319,0.3351,0.1116,0.198,0.0319,0.49,6.9115,0.2402,0.4416,0.1615,0.5502,0.4728,0.1941,0.8216,7.6073,0.2402,0.2002,0.4626,0.2651,0.3519,0.2568,0.1388,0.0197,0.1487,0.0242,0.0138,0.0229,0.0386,0.093,0.0484,0.0239,0.0382,0.0294,0.0053,0.0317,0.0131
C3,2.294,18.4768,3.6512,0.6565,0.1312,0.1779,0.1772,0.6033,0.4392,0.3086,0.3423,0.0826,0.4595,0.4083,0.0678,0.7281,6.1495,,0.2399,0.5061,0.1563,0.2726,0.1613,0.2503,0.0171,0.1022,0.0071,0.0264,0.0024,0.0294,0.3924,0.0453,0.0117,0.0187,0.0322,0.0043,0.0173,0.0047
C4,0.81,14.9939,3.4386,0.4298,0.1084,0.0905,0.0164,0.5675,3.2821,0.3335,0.6625,0.1871,0.7148,0.5801,0.3121,1.0787,3.1759,0.3335,0.3149,0.7995,0.3423,0.4461,0.2811,0.4035,0.0296,0.0886,0.0131,0.0109,0.0285,0.0828,0.5181,0.0584,0.0223,0.006,0.0311,0.005,0.0338,0.0136
C5,0.6623,16.7815,4.0731,0.4812,0.0858,0.0873,0.0164,0.6066,1.08,0.277,0.3299,0.1347,0.4832,0.399,0.0498,0.8357,6.734,0.277,0.2521,0.5181,0.1974,0.3198,0.1766,0.0823,0.0213,0.095,0.0157,0.0095,0.0073,0.0317,0.397,0.0285,0.0073,0.0415,0.0454,0.0055,0.0332,0.004
C6,0.7366,16.9917,3.6646,0.477,0.1254,0.0962,0.0204,0.6197,0.6187,0.2685,0.3128,0.1074,0.3991,0.3331,0.0262,0.6451,3.8712,0.2685,0.2159,0.4485,0.1495,0.2567,0.1515,0.0501,0.0137,0.0524,0.0205,0.007,0.0036,0.0346,0.3503,0.0352,0.0227,0.0094,0.0349,0.0044,0.0322,0.0098
C7,0.5971,18.6493,3.4348,0.5116,0.0906,,0.0111,0.2411,0.1655,0.1495,0.1823,0.0679,0.2361,0.1428,0.0432,0.5246,0.943,,0.1436,0.2823,0.103,0.1468,0.1323,0.01,0.0196,0.0396,,0.0076,0.0037,0.0418,0.749,,0.0244,0.0172,0.0344,0.0042,0.0509,0.0032
C8,0.6094,16.9941,4.0294,0.5478,0.1107,0.1425,0.0175,0.4668,1.6812,0.3105,0.413,0.1527,0.517,0.2923,0.1459,0.8587,8.5477,0.3105,0.2775,0.6074,0.2166,0.3594,0.1924,0.0803,0.024,0.066,0.0094,0.0116,0.0125,0.0452,0.3761,0.0746,0.0158,0.0269,0.0429,0.006,0.0446,0.0037
C9,0.8545,14.0779,3.0116,0.3402,0.0632,0.0097,0.0475,0.512,0.6555,0.2561,0.3885,0.1197,0.4263,0.2396,0.1584,0.6821,5.0647,0.2561,0.2769,0.5059,0.1858,0.3272,0.1842,0.0704,0.0161,0.0501,0.0087,0.0054,0.0091,0.0749,0.38,0.0124,0.0072,0.0329,0.0258,0.0053,0.0251,0.0028
C10,0.6782,20.1426,3.961,0.3324,0.0625,0.3919,0.0125,0.467,3.0704,0.2424,0.2859,0.1118,0.4467,0.3645,0.1025,0.6685,6.0172,0.2424,0.2259,0.3887,0.1406,0.3467,0.149,0.0961,0.0148,0.0527,0.0093,0.0088,0.0057,0.0735,2.7403,0.0498,0.0128,0.0354,0.0782,0.0071,0.0491,0.0029
C11,1.0217,19.9332,4.4474,0.385,0.0799,0.1758,0.0181,0.6038,2.4785,0.3461,0.4963,0.174,0.5326,0.4104,0.1821,0.9871,5.7554,0.3461,0.3123,0.621,0.2327,0.3606,0.1901,0.4148,0.0262,0.0473,0.0152,0.0034,0.0165,0.2052,0.4703,0.0115,0.015,0.0045,0.0278,0.0053,0.0336,0.0116
C12,0.7333,12.8929,2.8271,0.3042,0.0958,0.0462,0.0163,0.4417,0.0895,0.2962,0.4696,0.0545,0.5153,0.3701,0.1417,0.9546,2.6179,0.2962,0.3,0.611,0.2142,0.3406,0.1729,0.3089,0.0268,0.0619,0.017,0.0046,0.0074,0.0392,1.3651,0.0477,0.0342,0.0295,0.0216,0.0045,0.05,0.0044
C13,0.7044,17.7163,3.3887,0.3421,0.0467,0.0638,0.011,0.5131,0.4264,0.2337,0.2157,0.0767,0.2984,0.2418,0.039,0.6168,0.6803,0.2337,0.1718,0.3495,0.114,0.2065,0.1081,0.2846,0.016,0.0496,0.0109,0.0073,0.0043,0.0821,0.5141,0.0096,0.0144,0.0153,0.0227,0.0064,0.0255,0.0034
C14,1.7358,16.2577,3.4666,0.4158,0.0803,0.0544,0.1269,0.6442,0.3125,0.2472,0.2672,0.0979,0.1942,0.2418,0.0331,0.587,0.6184,0.2472,0.2081,0.4226,0.115,0.2011,0.094,0.2636,0.0161,0.0455,,0.0097,0.0009,0.2939,0.3181,0.0142,0.015,0.0205,0.0205,0.0043,0.0246,0.0092
C15,0.6905,13.8661,3.3408,0.4953,0.1012,0.1834,0.0377,0.289,0.7392,0.2117,0.3027,0.0668,0.3162,0.2994,0.0669,0.763,7.7739,,0.1964,0.328,0.131,0.2384,0.1097,0.2903,0.0144,0.0666,,,0.0055,0.026,0.6733,0.0287,0.0108,0.0152,0.0303,0.0037,0.0542,0.0045
C16,0.5128,17.2788,2.911,0.3329,0.0581,0.1294,0.0152,0.188,0.4344,0.1368,0.1928,0.0832,0.2622,0.2164,0.0342,0.455,5.0173,,0.1496,0.3127,0.1037,0.1634,0.1147,0.1642,0.0192,0.0659,,,0.0052,0.0269,1.5836,0.0256,0.008,0.0143,0.0154,0.0029,0.0219,0.0038
C17,0.9641,24.227,5.0465,0.4381,0.0702,0.0911,0.0201,0.723,0.9634,0.2382,0.3075,0.1218,0.4362,0.2633,0.0695,0.6611,8.3541,0.2382,0.2139,0.4524,0.1464,0.2531,0.1262,0.1753,0.0182,0.0377,0.0105,0.0084,0.0027,0.171,2.0038,0.0705,0.0131,0.0101,0.028,0.0055,0.0452,0.0032
C18,1.0269,13.7443,3.448,0.3673,0.097,0.1851,0.0136,0.3459,0.958,0.1908,0.2852,0.1076,0.2318,0.2404,0.1094,0.6373,21.8292,0.1908,0.2184,0.3175,0.1327,0.1798,0.129,0.1682,0.0217,0.1159,0.0145,,0.0119,0.0347,0.096,0.0635,0.0192,0.0215,0.013,0.0044,0.0374,0.0031
C19,1.5451,17.2729,3.3531,0.4607,0.0806,0.1922,0.2167,0.573,0.6943,0.2684,0.3252,0.1003,0.378,0.2773,0.1137,0.7233,5.6924,0.2684,0.2602,0.4877,0.1491,0.2596,0.108,0.0382,0.0179,0.0246,0.0126,,0.0016,0.1265,0.5468,0.0169,0.0209,0.0194,0.0223,0.0042,0.0506,0.0056
C20,0.6664,7.3306,1.6486,0.2208,0.0539,0.0553,0.1796,0.3467,1.1901,0.2545,0.3275,0.1203,0.3801,0.2952,0.071,0.7194,5.8856,0.2545,0.2269,0.4264,0.1424,0.2533,0.1376,0.149,0.0134,0.0562,0.0088,,0.0044,0.0381,0.2066,0.0303,0.0084,0.0108,0.0249,0.006,0.0324,0.0069
C21,1.3148,26.4476,6.3521,0.2891,0.0231,0.2517,0.048,2.0663,0.6238,0.135,0.417,0.1341,0.5986,0.4195,0.131,0.7101,10.8956,0.135,0.1652,0.4578,0.2198,0.3153,0.1908,0.0516,0.0379,0.142,0.019,0.0213,0.0054,0.0532,4.0161,0.018,0.045,0.107,0.011,0.0042,0.0267,0.0115
C22,2.7412,21.0257,5.1153,0.2925,0.0733,0.0372,0.0345,1.2347,0.2469,0.1253,0.2873,0.1215,0.3613,0.3283,0.0392,0.6717,6.8323,0.1253,0.1473,0.3512,0.1386,0.2398,0.1388,0.0581,0.045,0.1008,0.0198,0.0132,0.0036,0.0521,0.1759,0.1032,0.0124,0.0423,0.0457,0.0037,0.0266,0.0092
C23,2.6331,21.6387,4.7193,0.3921,0.0572,0.0745,0.0393,1.7852,0.3991,0.1647,0.2987,0.1452,0.3837,0.3986,0.0581,0.9089,2.0115,,0.2394,0.4457,0.1737,0.3134,0.1754,0.0416,0.0562,0.1162,0.0125,0.0137,0.0017,0.0446,0.8168,0.0217,0.0081,0.0361,0.0449,0.0043,0.0182,0.0076
C24,3.4968,17.0842,4.3925,0.2939,0.0707,0.0333,0.1934,2.067,0.495,0.1872,0.5582,0.1653,0.5112,0.5027,0.1199,1.0614,2.0599,0.1872,0.1955,0.5491,0.2935,0.481,0.2357,0.0421,0.0352,0.1615,0.0228,0.0121,0.0103,0.0382,0.935,0.0643,0.0127,0.0388,0.0217,0.0035,0.025,0.0116
C25,1.4757,18.48,5.043,0.2199,0.0337,0.2757,0.0603,1.4786,0.4258,0.2584,0.4782,0.1575,0.4536,0.5452,0.0679,0.817,4.7314,0.2584,0.2887,0.7371,0.2808,0.4237,0.2353,0.1881,0.0413,0.1211,0.0235,0.0128,0.0031,0.0546,0.3181,0.0527,0.0126,0.0212,0.0158,0.006,0.0121,0.0098
C26,1.8483,23.5335,5.2407,0.2387,0.0458,0.0807,0.0274,1.1049,0.1744,0.1286,0.2652,0.0953,0.3339,0.2706,0.0364,0.6896,4.5428,0.1286,0.1908,0.3887,0.1741,0.2342,0.1541,0.077,0.0351,0.1231,,0.0191,0.0033,,0.1694,0.0412,0.026,0.0408,0.0373,0.0056,0.0315,0.0092
C27,5.0364,20.7005,5.1589,0.4012,0.0308,0.0211,0.0822,2.095,0.0764,0.1614,0.3188,0.1278,0.3931,0.222,0.0238,0.6678,7.1796,0.1614,0.1979,0.3926,0.193,0.3855,0.1611,0.0697,0.0423,0.1106,0.0137,0.0173,0.0014,0.0446,0.2456,0.0591,0.0229,0.0594,0.0237,0.0042,0.0315,0.0092
C28,1.1098,26.4319,3.9652,0.3616,0.0445,,0.0672,2.8161,0.4041,0.2881,0.3215,0.0803,0.3816,0.3378,0.1476,0.4097,6.3866,,0.1654,0.4548,0.1496,0.3152,0.1644,0.1949,0.017,0.1244,0.0164,0.0222,0.0095,0.0333,10.4483,,0.0144,0.0247,0.0324,0.0051,0.0372,0.011
C29,3.8123,22.8945,5.8343,0.4295,0.0622,0.0368,0.0355,2.8878,0.1302,0.2858,0.4598,0.1967,0.5164,0.3136,0.0396,0.944,6.5303,0.2858,0.3143,0.6384,0.2642,0.4667,0.2475,0.1597,0.0572,0.1108,0.0273,0.018,0.0023,0.0466,0.2983,0.0879,0.0149,0.0264,0.0256,0.0044,0.0357,0.0078
